;lemma;absol_freq;relat_freq
356;корупція;120;0.0003805875002378672
357;момент;120;0.0003805875002378672
358;вчора;120;0.0003805875002378672
359;фашист;119;0.00037741593773588496
360;обєкт;119;0.00037741593773588496
361;особисто;119;0.00037741593773588496
362;головний;119;0.00037741593773588496
363;програма;118;0.00037424437523390274
364;розповідати;118;0.00037424437523390274
365;майбутній;118;0.00037424437523390274
366;дякувати;117;0.0003710728127319205
367;Польща;117;0.0003710728127319205
368;купа;117;0.0003710728127319205
369;віддати;117;0.0003710728127319205
370;насправді;117;0.0003710728127319205
371;горіти;117;0.0003710728127319205
372;пропонувати;116;0.0003679012502299383
373;параша;116;0.0003679012502299383
374;простий;115;0.00036472968772795607
375;будинок;115;0.00036472968772795607
376;тиснути;115;0.00036472968772795607
377;реально;115;0.00036472968772795607
378;закінчитися;114;0.00036155812522597385
379;депутат;114;0.00036155812522597385
380;команда;114;0.00036155812522597385
381;відсутність;114;0.00036155812522597385
382;обстріл;114;0.00036155812522597385
383;хотітися;113;0.0003583865627239916
384;справжній;113;0.0003583865627239916
385;Одеса;113;0.0003583865627239916
386;реальний;113;0.0003583865627239916
387;травень;112;0.0003552150002220094
388;кацапня;112;0.0003552150002220094
389;захист;112;0.0003552150002220094
390;заборонити;111;0.0003520434377200271
391;сміття;111;0.0003520434377200271
392;брехати;111;0.0003520434377200271
393;американський;111;0.0003520434377200271
394;підрозділ;111;0.0003520434377200271
395;значення;111;0.0003520434377200271
396;Китай;111;0.0003520434377200271
397;патріот;110;0.0003488718752180449
398;біда;110;0.0003488718752180449
399;перемовини;110;0.0003488718752180449
400;член;110;0.0003488718752180449
401;квітень;110;0.0003488718752180449
402;відбуватися;110;0.0003488718752180449
403;чин;109;0.0003457003127160627
404;голосувати;109;0.0003457003127160627
405;означати;109;0.0003457003127160627
406;лінія;109;0.0003457003127160627
407;русня;109;0.0003457003127160627
408;командир;109;0.0003457003127160627
409;можливий;109;0.0003457003127160627
410;малий;108;0.00034252875021408046
411;прийняти;108;0.00034252875021408046
412;рівень;108;0.00034252875021408046
413;жах;108;0.00034252875021408046
414;дозволити;108;0.00034252875021408046
415;ресурс;108;0.00034252875021408046
416;вбитий;108;0.00034252875021408046
417;колишній;108;0.00034252875021408046
418;наказ;108;0.00034252875021408046
419;маленький;106;0.000336185625210116
420;смішно;106;0.000336185625210116
421;агресія;106;0.000336185625210116
422;постачання;106;0.000336185625210116
423;байден;106;0.000336185625210116
424;бажання;105;0.0003330140627081338
425;бити;105;0.0003330140627081338
426;збиратися;105;0.0003330140627081338
427;європейський;105;0.0003330140627081338
428;термін;105;0.0003330140627081338
429;підозра;105;0.0003330140627081338
430;мозок;105;0.0003330140627081338
431;залишатися;105;0.0003330140627081338
432;чорний;105;0.0003330140627081338
433;організація;105;0.0003330140627081338
434;полон;104;0.00032984250020615157
435;різний;104;0.00032984250020615157
436;солдат;104;0.00032984250020615157
437;чужий;104;0.00032984250020615157
438;вогонь;103;0.00032667093770416935
439;платити;103;0.00032667093770416935
440;міністр;103;0.00032667093770416935
441;відомо;103;0.00032667093770416935
442;можливість;103;0.00032667093770416935
443;грати;103;0.00032667093770416935
444;судити;103;0.00032667093770416935
445;спроба;103;0.00032667093770416935
446;поганий;103;0.00032667093770416935
447;назвати;103;0.00032667093770416935
448;слід;102;0.0003234993752021871
449;нога;102;0.0003234993752021871
450;раша;102;0.0003234993752021871
451;авіація;102;0.0003234993752021871
452;здохнути;102;0.0003234993752021871
453;межа;102;0.0003234993752021871
454;спалити;102;0.0003234993752021871
455;нафта;101;0.0003203278127002049
456;найбільший;101;0.0003203278127002049
457;потвора;101;0.0003203278127002049
458;зеля;101;0.0003203278127002049
459;бомба;101;0.0003203278127002049
460;вбивця;101;0.0003203278127002049
461;арестович;101;0.0003203278127002049
462;підготовка;100;0.0003171562501982227
463;повернути;100;0.0003171562501982227
464;поїхати;100;0.0003171562501982227
465;дебіл;100;0.0003171562501982227
466;комплекс;100;0.0003171562501982227
467;будувати;100;0.0003171562501982227
468;захопити;99;0.00031398468769624046
469;генштаб;99;0.00031398468769624046
470;провести;99;0.00031398468769624046
471;ходити;99;0.00031398468769624046
472;брати;99;0.00031398468769624046
473;ідіот;98;0.0003108131251942582
474;компанія;98;0.0003108131251942582
475;показувати;98;0.0003108131251942582
476;захищати;98;0.0003108131251942582
477;нормальний;98;0.0003108131251942582
478;кримінальний;98;0.0003108131251942582
479;оточення;98;0.0003108131251942582
480;здатний;98;0.0003108131251942582
481;закрити;98;0.0003108131251942582
482;передати;98;0.0003108131251942582
483;церква;98;0.0003108131251942582
484;діяльність;98;0.0003108131251942582
485;заборона;98;0.0003108131251942582
486;повертатися;97;0.00030764156269227596
487;перестати;97;0.00030764156269227596
488;вирішувати;97;0.00030764156269227596
489;ставити;97;0.00030764156269227596
490;рахунок;97;0.00030764156269227596
491;противник;96;0.00030447000019029373
492;ганьба;96;0.00030447000019029373
493;режим;96;0.00030447000019029373
494;боєць;96;0.00030447000019029373
495;вистачати;96;0.00030447000019029373
496;тікати;96;0.00030447000019029373
497;база;96;0.00030447000019029373
498;століття;96;0.00030447000019029373
499;поранений;95;0.0003012984376883115
500;американець;95;0.0003012984376883115
501;приїхати;95;0.0003012984376883115
502;боротися;95;0.0003012984376883115
503;тварина;95;0.0003012984376883115
504;агент;94;0.0002981268751863293
505;крок;94;0.0002981268751863293
506;збройний;94;0.0002981268751863293
507;повинен;94;0.0002981268751863293
508;квартал;94;0.0002981268751863293
509;приймати;94;0.0002981268751863293
510;атака;94;0.0002981268751863293
511;вибори;93;0.00029495531268434707
512;створити;93;0.00029495531268434707
513;полк;93;0.00029495531268434707
514;нагадати;93;0.00029495531268434707
515;московський;93;0.00029495531268434707
516;залишити;93;0.00029495531268434707
517;бригада;93;0.00029495531268434707
518;мир;92;0.00029178375018236484
519;вивезти;92;0.00029178375018236484
520;радянський;92;0.00029178375018236484
521;злочинець;92;0.00029178375018236484
522;решта;92;0.00029178375018236484
523;планувати;92;0.00029178375018236484
524;людський;92;0.00029178375018236484
525;певний;92;0.00029178375018236484
526;знаходитися;92;0.00029178375018236484
527;зерно;92;0.00029178375018236484
528;громадянство;91;0.0002886121876803826
529;лідер;91;0.0002886121876803826
530;руський;91;0.0002886121876803826
531;суспільство;91;0.0002886121876803826
532;нацист;90;0.0002854406251784004
533;контроль;90;0.0002854406251784004
534;згадати;90;0.0002854406251784004
535;хороший;90;0.0002854406251784004
536;страшний;90;0.0002854406251784004
537;повідомлення;90;0.0002854406251784004
538;значно;90;0.0002854406251784004
539;терорист;89;0.0002822690626764182
540;напевно;89;0.0002822690626764182
541;керівник;89;0.0002822690626764182
542;засіб;89;0.0002822690626764182
543;Медведчук;89;0.0002822690626764182
544;памятати;89;0.0002822690626764182
545;майно;89;0.0002822690626764182
546;звільнення;89;0.0002822690626764182
547;повідомити;89;0.0002822690626764182
548;журналіст;89;0.0002822690626764182
549;джонсон;89;0.0002822690626764182
550;березень;89;0.0002822690626764182
551;нажаль;89;0.0002822690626764182
552;евакуація;89;0.0002822690626764182
553;біль;88;0.00027909750017443595
554;звинувачувати;88;0.00027909750017443595
555;гинути;88;0.00027909750017443595
556;язик;88;0.00027909750017443595
557;вулиця;88;0.00027909750017443595
558;шанс;87;0.00027592593767245373
559;море;87;0.00027592593767245373
560;встигнути;87;0.00027592593767245373
561;забрати;87;0.00027592593767245373
562;паніка;87;0.00027592593767245373
563;цікавий;86;0.0002727543751704715
564;загиблий;86;0.0002727543751704715
565;виглядати;86;0.0002727543751704715
